Learning Rate	Trainning Loss	Valid Loss	Train Acc	Valid Acc	
0.001000	0.047396	0.493873	98.694517	91.464597	
0.001000	0.048719	0.511402	98.485640	90.979631	
0.001000	0.052935	0.479968	98.346388	91.464597	
0.001000	0.045780	0.490087	98.677111	91.561591	
0.001000	0.056846	0.491681	98.416014	92.046557	
0.001000	0.056486	0.539624	98.398607	91.076625	
0.001000	0.058407	0.499042	98.416014	91.464597	
0.001000	0.044490	0.500637	98.798956	91.755577	
0.001000	0.054299	0.526586	98.537859	91.658584	
0.001000	0.049446	0.525814	98.572672	91.464597	
0.001000	0.048519	0.490057	98.572672	91.561591	
0.001000	0.045894	0.484026	98.624891	91.755577	
0.001000	0.044592	0.517832	98.746736	91.561591	
0.001000	0.049648	0.517331	98.572672	91.270611	
0.001000	0.041927	0.515084	98.746736	91.270611	
0.001000	0.054060	0.488044	98.398607	90.979631	
0.001000	0.050019	0.544241	98.572672	91.173618	
